trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.8, 'e': 0.23999999999999932}",20,14,12.678598129159178,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.8, 'e': 0.23499999999999932}",25,12,-22.68868894291102,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.8, 'e': 0.22999999999999932}",25,12,11.568104330550797,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.8, 'e': 0.2249999999999993}",20,7,15.848748116757456,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.8, 'e': 0.2199999999999993}",20,11,-25.612399533467002,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.8, 'e': 0.2149999999999993}",25,0,12.385411758515431,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
158,False,"{'a': 0.8, 'e': 0.2099999999999993}",30,4,-0.8437537765912109,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 0}",1
159,False,"{'a': 0.8, 'e': 0.2049999999999993}",25,2,36.577861108256556,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.8, 'e': 0.1999999999999993}",25,0,-32.168735631463484,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
161,False,"{'a': 0.8, 'e': 0.19499999999999929}",25,6,-21.84043635319244,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
162,False,"{'a': 0.8, 'e': 0.18999999999999928}",20,15,11.589531431338953,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.8, 'e': 0.18499999999999928}",25,13,16.401007702945723,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.8, 'e': 0.17999999999999927}",25,8,7.84017726942907,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.8, 'e': 0.17499999999999927}",30,22,17.109206304446136,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8, 'e': 0.16999999999999926}",25,18,10.597902857915596,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.8, 'e': 0.16499999999999926}",20,16,7.003013957593868,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8, 'e': 0.15999999999999925}",20,12,3.1303332795204586,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.8, 'e': 0.15499999999999925}",30,16,22.555772101552538,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8, 'e': 0.14999999999999925}",20,1,27.107579418431403,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.8, 'e': 0.14499999999999924}",35,4,-3.9566566530101803,"{0: 27, 1: 1, 2: 2, 3: 1, 4: 0}",1
172,False,"{'a': 0.8, 'e': 0.13999999999999924}",30,16,8.06342093254977,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
